Tags,Article Content,Date posted,Author
We are outraged: WHO on allegations of sexual abuse by aid workers,"Amid allegations of sexual abuse by aid workers combating Ebola outbreak in Democratic Republic of Congo, World Health Organization has said, ""To be very clear, we are outraged to read these reports."" Over 50 women have accused aid workers from the WHO and leading charities of sexual exploitation and abuse. ""Won't tolerate behaviour like this from our staff,"" WHO added.",03 Oct,Aarushi Maheshwari
Can waive 'interest on interest' on loans up to ₹2 cr during moratorium: Govt ,"The Centre has informed the Supreme Court that it is ready to waive 'interest on interest' on loans of up to ₹2 crore during the six-month moratorium period. The waiver will apply for MSME loans, education, housing, auto and consumer durable loans and credit card dues. The government said it decided to ""continue the tradition of handholding the small borrowers"".",03 Oct,Aarushi Maheshwari
Hillary Clinton to produce voting rights drama 'The Woman's Hour',Former US Secretary of State Hillary Clinton will co-produce an anthology voting rights drama based on the Elaine Weiss book 'The Woman's Hour: The Great Fight to Win the Vote'. The CW Television Network is working on the script and the drama will also be produced by Steven Spielberg's Amblin Television and Warner Bros. Television.,03 Oct,Krishna Veera Vanamali
Payal hijacking MeToo movement for ulterior motives: Anurag's lawyer,"Anurag Kashyap's lawyer Priyanka Khimani said that the filmmaker has sought for action against actress Payal Ghosh for ""hijacking"" the #MeToo movement for her ""ulterior"" motives. Kashyap added that Payal is ""misusing the criminal justice system"", Khimani stated. The actress has alleged that Kashyap had forced himself upon her when she went to meet him at his house for work.",03 Oct,Krishna Veera Vanamali
"Payal Ghosh files for lie detector, polygraph test of Anurag Kashyap","Actress Payal Ghosh on Friday tweeted that filmmaker Anurag Kashyap lied before the police. ""My lawyer is moving an application to conduct narco analysis, lie detector and polygraph test...today application will be filed to the police station,"" she added. Kashyap appeared before Mumbai Police on Thursday in connection with the sexual assault case filed against him by Payal.",03 Oct,Krishna Veera Vanamali
2 men attack BBMP marshals after being fined over masks; arrested,"Two men named Arun Thippanna, 26, and Jagadish G Prakash, 28, have been arrested for assaulting BBMP marshals in Bengaluru's KR Puram. The incident happened after the men were fined ₹1,000 each for not wearing masks. ""Marshals are empowered to impose fines for not wearing masks,"" Police Commissioner Kamal Pant tweeted.",03 Oct,Krishna Veera Vanamali
BMC to conduct random tests to assess antibodies among those surveyed,"Brihanmumbai Municipal Corporation along with Tata Institute of Fundamental Research (TIFR) will conduct random tests to assess the kind of antibodies generated among the surveyed people. The tests will compare the presence of two antibodies – anti-spike antibody RBD and anti-nucleocapsid antibodies. In the second sero-survey, blood samples were tested for anti-nucleocapsid antibodies.",03 Oct,Krishna Veera Vanamali
NDMC flags off bicycle tour to promote physical activities,"New Delhi Municipal Council has flagged off a bicycle tour as part of its pilot project 'Cycle4Change' to promote cycling and physical activities. It was launched on a 6km corridor from India Gate to Jorbagh metro station. ""At a time when physical and sports activities have been curtailed amid COVID-19, [we] initiated a move towards normalcy,"" NDMC Chairperson Dharmendra said.",03 Oct,Krishna Veera Vanamali
Gandhiji's philosophy of healthy living important today: ICMR DG,"On the 151st birth anniversary of Mahatma Gandhi on Friday, ICMR Director-General Dr Balram Bhargava stated that Gandhiji's philosophy of a healthy lifestyle ""will be a prominent way to foster ease of living in COVID-19 times."" Dr Bhargava added, ""In today's unprecedented time, there is no better person who could lead us out of this.""",03 Oct,Aarushi Maheshwari
COVID-19 positivity rate in rural Pune dropped by 5.20% in Sept,"COVID-19 positivity rate in rural areas of Pune dropped by 5.20% in September. The positivity rate in Pune rural was 31.60% on September 1, which declined to 26.40% on September 30. ""In September, we conducted a survey in rural Pune and identified 164 hotspots and 100% testing and surveillance was done in the area,"" District Collector Rajesh Deshmukh said.",03 Oct,Aarushi Maheshwari
2nd sero-survey indicates drop in COVID-19 infections in slums: BMC,"Brihanmumbai Municipal Corporation (BMC) has said that in the second sero-survey, the COVID-19 antibodies in samples from slums in Mumbai was found to have decreased by 12%. It indicates that the infection spread in slums in the city might have come down, BMC added. The sero-prevalence of COVID-19 in women was marginally higher than men, BMC stated.",03 Oct,Ankush Verma
7 rowdies sent to jail in B'luru after police invokes Goonda Act,"Bengaluru City Police has invoked the Goonda Act against seven rowdies and sent them to prison. These rowdies were involved in several crimes, including robbery, murder, kidnap, damaging public property, and more. Under the Goonda Act, accused will not be given bail for a year. ""We are on a mission to curb rowdy activities,"" Police Commissioner Kamal Pant said.",03 Oct,Ankush Verma
Hyd Gandhi Hospital ward boy assaults 73-yr-old COVID-19 patient,"A ward boy of Hyderabad's Gandhi Hospital allegedly sexually assaulted a 73-year-old COVID-19 positive woman, following which he was suspended. Chilkalguda Police Station officials registered an FIR against him under Section 354A of the IPC that deals with sexual harassment and sexual assault. The hospital's health inspector informed the hospital superintendent about the incident on Thursday.",03 Oct,Krishna Veera Vanamali
16-year-old arrested for raping his 8-year-old neighbour in Meerut,"A 16-year-old boy has been arrested for allegedly raping his eight-year-old neighbour in Meerut on Thursday night, the police said. The accused lured the minor to his house when she was playing with her friends and later fled the scene of the crime. Neighbours rescued the girl after hearing her screams, while the accused was arrested the next day. ",03 Oct,Krishna Veera Vanamali
Yamuna panel asks UP to list effluents discharged into Delhi drain,"Yamuna Monitoring Committee has asked Uttar Pradesh Pollution Control Board to submit a report on sewage and industrial effluents discharged from Sahibabad and Indirapuri drains into Delhi's Shahdara drain that meets Yamuna. ""The Chemical Oxygen Demand and Biochemical Oxygen Demand levels in the drains way exceed the permissible limits,"" stated minutes of a review meeting between the two parties.",03 Oct,Atul Mishra
"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year","The Government of India on Friday announced four Padma Vibhushan, 14 Padma Bhushan and 94 Padma Shri Awards for 113 personalities. As many as 21 of the awardees are women. Folk artiste Teejan Bai, President of Djibouti Ismail Omar Guelleh, L&T chairman AM Naik and theatre artiste Balwant Moreshwar Purandare were awarded the Padma Vibhushan, India's second highest civilian award.",25 Jan,Anmol Sharma
"Gambhir, Chhetri among 9 sports personalities to get Padma Awards","As many as nine sports personalities have been conferred with Padma Awards this year. Ex-cricketer Gautam Gambhir, football team captain Sunil Chhetri, table tennis player Sharath Kamal and wrestler Bajrang Punia have been conferred with Padma Shri, India's fourth highest civilian award. Meanwhile, mountaineer Bachendri Pal was awarded with Padma Bhushan, India's third highest civilian award.",25 Jan,Anmol Sharma
"Hardik, Rahul were gracious when I apologised to them: Karan Johar","Filmmaker Karan Johar has said that cricketers Hardik Pandya and KL Rahul were gracious to him when he apologised to them after they were suspended by CoA over their comments on women on 'Koffee with Karan'. ""They were like 'this is not your fault',"" Karan added. He further said the duo were just ""conforming to the prerequisites of the show"".  ",25 Jan,Anmol Sharma
Sarfaraz personally apologises to SA player he called 'Abey Kaale',"Pakistan captain Sarfaraz Ahmed personally apologised to South Africa's Andile Phehlukwayo for calling him 'Abey Kaale' during the second ODI on Tuesday. Sarfaraz shared a picture of himself with Phehlukwayo, and wrote, ""This morning I apologised to Andile Phehlukwayo and he was gracious enough to accept my apology and I hope the people of South Africa also accept my apology."" ",25 Jan,Anmol Sharma
"Hardik Pandya, KL Rahul have really suffered: Azharuddin","After the BCCI lifted suspensions on KL Rahul and Hardik Pandya pending appointment of Ombudsman, ex-India captain Mohammed Azharuddin said both the cricketers have really suffered. ""CoA should've appointed the Ombudsman in the first place. I don't think CoA has done a very good job,"" he added. Azharuddin further said the CoA should have taken the decision immediately.",26 Jan,Anmol Sharma
We forgive Sarfaraz but won't take his remarks lightly: SA captain,"South Africa captain Faf du Plessis has said that his team has forgiven Pakistan captain Sarfaraz Ahmed but they don't take his ""racist"" remarks lightly. ""When you come to South Africa, you have to be very careful when you make racial comments,"" Du Plessis added. ""We can forgive but that doesn't mean we brush it under the table,"" he added. ",25 Jan,Anmol Sharma
"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life","After all-rounder Yuvraj Singh posted a picture with the caption ""Red car or red shoes? I'll take vintage any day"" on Instagram, ex-India cricketer Gautam Gambhir commented on his post saying, ""Laal mere dil ka haal hai, lagta tujhpe kamaal hai, Yuvi shaadi ke baad tera kya haal hai?"" Responding to Gambhir's comment, Yuvraj jokingly wrote, ""Haal bada behaal hai."" ",25 Jan,Anmol Sharma
"Zuckerberg may integrate WhatsApp, Instagram, Messenger: NYT","Facebook CEO Mark Zuckerberg plans to integrate WhatsApp, Instagram and Facebook Messenger by 2020, a New York Times report has claimed. After the changes, a Facebook user, for instance, will be able to send encrypted messages to someone who has only a WhatsApp account, according to the report. The three services will, however, continue as stand-alone apps, the report added.",25 Jan,Anmol Sharma
Angola decriminalises homosexuality,"The African nation of Angola has decriminalised homosexuality after the parliament removed the ""vices against nature"" provision. The government has also banned discrimination against people on the basis of sexual orientation. The changes come as Angola's parliament adopted its first new penal code since it gained independence from Portugal in 1975 and removed the provision.",25 Jan,Anmol Sharma
"Zee firms lose ₹14,000 crore market value in a day after media report","Zee Group companies' market capitalisation fell nearly ₹14,000 crore on Friday after a report said promoter Essel Group's name emerged in a probe linked to large deposits made after demonetisation. Zee Entertainment shares fell 30%, while Dish TV lost 37%. The SFIO is probing a company called Nityank Infrapower for deposits of ₹3,000 crore made after demonetisation, the report said.",25 Jan,Anmol Sharma
Nirav Modi's ₹100-crore sea-facing Alibaug bungalow being demolished,"Maharashtra's Raigad collectorate on Friday started demolishing PNB scam-accused diamantaire Nirav Modi's seaside mansion in Alibaug, reportedly worth ₹100 crore. Raigad Collector Vijay Suryawanshi said the bungalow was built illegally and flouted environmental norms. The Enforcement Directorate stripped the over 30,000-square-foot property of all its valuables and handed it over for demolition. ",25 Jan,Anmol Sharma
Malayalam actress Manju denies campaigning for Congress ,"Malayalam actress Manju Warrier has denied reports that stated she was going to campaign for the Congress party in Kerala ahead of the 2019 Lok Sabha elections. The actress said that she hasn't been approached by the Congress and has no affiliations to any political party. Earlier, reports suggested Manju was asked to join the party by senior party leaders.",25 Jan,Anmol Sharma
"Who is Bhupen Hazarika, late singer who was awarded Bharat Ratna?","Late music maestro Bhupen Hazarika, widely known as 'Sudhakantha', was awarded India's highest civilian honour Bharat Ratna seven years after his death, on the eve of Republic Day 2019. The Assamese singer was known for his songs which were largely centred around themes like humanity, universal brotherhood and justice. He was also honoured with Dada Saheb Phalke Award in 1992.",26 Jan,Anmol Sharma
Language politicians use spoils younger generation: Gulzar,"Lyricist and filmmaker Gulzar said the ""kind of language"" used by politicians today may ""spoil the younger generation"" as the youth has started to take an interest in politics. He urged politicians to be mindful of their language and the adverse effect it has on politics. He further said that the language used also affects 'mutual friendship'. ",25 Jan,Anmol Sharma
Late actor Kader Khan conferred with Padma Shri,"Late actor-screenwriter Kader Khan on Friday was conferred with the Padma Shri, India's fourth highest civilian honour. The actor, who breathed his last on December 31, has been honoured for his contribution to cinema. Bollywood actor Manoj Bajpayee, actor-choreographer Prabhudeva and singer-composer Shankar Mahadevan were also among this year's 94 Padma Shri awardees.",25 Jan,Gaurav Shroff
'Roma' actor may miss Oscars after US visa was denied thrice,"Mexican actor Jorge Antonio Guerrero, who featured in the Oscar-nominated film 'Roma', might miss the Oscar award ceremony after three of his visa applications were rejected by the United States Embassy in Mexico. Guerrero had reportedly first applied for a tourist visa in 2018, which was immediately denied. 'Roma' landed 10 nominations, making it an Oscars front-runner alongside 'The Favourite'.",25 Jan,Gaurav Shroff
Shami has been a revelation since Australia series: Manjrekar,"Former Indian batsman Sanjay Manjrekar praised pacer Mohammad Shami, saying, ""Shami's Test match form prompted them to play in the [Australia] ODIs and he has been a revelation since then"". Manjrekar added that Shami has made India's bowling attack 'dynamic'. The 28-year-old pacer is the fastest Indian bowler to pick 100 wickets in ODI cricket.",25 Jan,Nandini Sinha
Saina Nehwal enters Indonesia Masters semi-finals,"Indian shuttler Saina Nehwal beat Thailand's Pornpawee Chochuwong to reach the last four of women's singles event at the Indonesia Masters on Friday. Eighth seed Saina, who had reached the semi-final at Malaysia Masters last week, will next face sixth-seeded Chinese He Bingjiao. Meanwhile, PV Sindhu and Kidambi Srikanth both lost their respective quarterfinal matches.",25 Jan,Nandini Sinha
Yuvraj hits 1st fifty in competitive cricket since October 2018,"India's Yuvraj Singh hit 80 off just 57 balls for Air India in the ongoing DY Patil T20 Cup tournament in Mumbai, registering his first fifty in competitive cricket since early October last year. The 37-year-old all-rounder will be making an appearance for Mumbai Indians, his sixth team in the Indian Premier League, this season.",25 Jan,Krishna Veera Vanamali
"If Priyanka trump card, why Cong played with joker: Paresh Rawal","Speaking about Priyanka Gandhi Vadra joining active politics, actor and BJP MP Paresh Rawal said if Priyanka is Congress' 'trump card' then why was the party 'playing with a joker till now'. Priyanka, branded as Congress' 'trump card', was appointed as Congress General Secretary for Uttar Pradesh East by her brother and Congress President Rahul Gandhi on Wednesday.",25 Jan,Krishna Veera Vanamali
Bengaluru-based bike taxi app Rapido raises ₹52 crore,"Bengaluru-based bike taxi app Rapido has raised ₹52.67 crore led by Integrated Capital in a Series A funding round. Launched in 2015, the startup provides services across several cities including Delhi (NCR), Bengaluru, Hyderabad, and Chennai. Rapido had raised an undisclosed amount in pre-Series A round led by Pawan Munjal, Hero MotoCorp Chairman, MD and CEO, in 2016.",25 Jan,Krishna Veera Vanamali
"Designed to last 90 days, NASA rover completes 15 years on Mars","NASA's Opportunity rover has completed 15 years on Mars after it landed on January 24, 2004, and sent its first signal to Earth after a few hours. The solar-powered rover was designed to travel about 1 km and operate for 90 Martian days (sols). However, it has travelled over 45 km and logged its 5,000th sol as of February 2018.",25 Jan,Krishna Veera Vanamali
India's pluralism is its greatest strength: President Kovind,"Addressing the nation on the eve of the 70th Republic Day, President Ram Nath Kovind said that India’s pluralism is its greatest strength and its greatest example to the world. ""The 'Indian model' rests on a tripod of diversity, democracy and development,"" he added. ""We cannot choose one above the other. We must...and we'll have all three,"" he further said.",25 Jan,Rahel Philipose
Sahitya Akademi winning writer Krishna Sobti passes away at 93,"Hindi author and essayist Krishna Sobti passed away in Delhi on Friday at the age of 93, following a prolonged illness. Sobti had received numerous awards, including the Sahitya Akademi in 1980 and Jnanpith Award in 2017, and was also offered Padma Bhushan, which she declined. Her notable works include 'Daar Se Bichhudi', 'Gujarat Pakistan Se Gujarat Hindustan' among others.",25 Jan,Rahel Philipose
Will encourage those who want to have four kids: Andhra CM ,"Andhra Pradesh CM N Chandrababu Naidu has said that even if people have four children, it will be ""encouraged"". ""Today's generation says they don't want to marry…they don't want kids. This is shocking,"" Naidu added. ""Presently, India is in a comfortable position, but it can become a problem...as birth rate is lower than the death rate,"" he further said.",25 Jan,Rahel Philipose
2019 LS polls 'once-in-a-century moment': President Kovind,"In his customary address to the nation on the eve of Republic Day, President Ram Nath Kovind said electing the 17th Lok Sabha is not just a ""once-in-a-generation moment, but a once-in-a-century moment"". Urging people to perform ""the sacred act"" of voting, he added, ""In some respects, this is as critical...a period as the late 1940s and early 1950s.""",25 Jan,Rahel Philipose
I&B Ministry increases ad rates for private TV channels,"Information and Broadcasting (I&B) Ministry on Friday increased the rates at which it offers advertisements to private TV channels. This will lead to an increase of about 11% over the rates of 2017 for most channels, an official statement from the ministry read. Earlier this month, I&B increased the rates at which government releases advertisements to print media by 25%.",25 Jan,Rahel Philipose
"Pranab Mukherjee, N Deshmukh and B Hazarika awarded Bharat Ratna","President Ram Nath Kovind today awarded India's highest civilian honour Bharat Ratna to ex-President Pranab Mukherjee, late social activist Nanaji Deshmukh and late music maestro Bhupen Hazarika. Mukherjee was President from 2012 to 2017, while Hazarika was awarded with India's highest award in cinema, Dada Saheb Phalke Award, in 1992. Deshmukh was also a former Rajya Sabha member. ",25 Jan,Anmol Sharma
SC sets up new 5-member bench to hear Ayodhya case on January 29,Chief Justice of India (CJI) Ranjan Gogoi today reconstituted the five-judge Constitution bench for hearing Ayodhya land dispute case on January 29. Justices Ashok Bhushan and Abdul Nazeer replace Justices UU Lalit and NV Ramana on the bench led by the CJI. This comes after Justice Lalit had recused himself from hearing the matter on January 10. ,25 Jan,Anmol Sharma
Footballer's sister urges police to resume search for missing plane,"After search for the missing plane carrying 28-year-old Cardiff City forward Emiliano Sala was called off, the sister of the Argentine footballer urged police and authorities to not give up searching. ""In my heart I know...Emiliano is a fighter and I know he's still alive. Please do not stop,"" Romina said. The plane has been missing since Monday night. ",25 Jan,Anmol Sharma
"35 yrs ago, it said hello: Tim Cook on Apple's Macintosh computer","Apple CEO Tim Cook on Thursday recalled the day when late Co-founder Steve Jobs unveiled Macintosh, Apple's first successful computer with a graphic user interface. ""35 years ago, Macintosh said hello. It changed the way we think about computers,"" Cook tweeted. Priced at $2,495, the first-gen Macintosh had 128KB RAM and featured a 512×342-pixel resolution on its 9-inch black-and-white monitor.",25 Jan,Anmol Sharma
Earth's oldest rock found in Moon samples brought 48 years ago,"A lunar sample returned by the Apollo 14 astronauts in 1971 may contain fragments of Earth's oldest rock from about 4 billion years ago, a NASA study has found. The rock crystallised about 20 km beneath the Earth's surface and was launched into space by large impact event(s) when the Moon was relatively much closer to the planet, researchers said.",25 Jan,Anmol Sharma
Doomsday Clock remains at 'two minutes to midnight' for 2019,"The Doomsday Clock, symbolising how close the planet is to an apocalypse, has been kept unchanged at two minutes to midnight. The Clock was moved forward by 30 seconds in 2018 and 2017 citing growing nuclear risks, climate dangers, and incoming of US President Donald Trump respectively. The Clock is set since 1947 by scientists worldwide including 14 Nobel Laureates.",25 Jan,Anmol Sharma
15 of 500 crocodiles removed so far for seaplane to Statue of Unity,"The Gujarat Forest Department has started relocating mugger crocodiles, an endangered species, from two ponds near the Statue of Unity to make way for a seaplane service. There are around 500 crocodiles in the ponds, of which 15 had been evacuated until Tuesday. They were released into Sardar Sarovar Dam's reservoir after about a week in Forest Department custody. ",25 Jan,Gaurav Shroff
Resolve issue through dialogue: India on Venezuela crisis,"India has called upon the people of Venezuela to find a solution to resolve the political crisis through dialogue without resorting to violence. ""We believe democracy, peace and security in Venezuela are of paramount importance for the prosperity of the people"", the Foreign Ministry said. The crisis broke out after opposition leader Juan Guaidó declared himself Venezuela's interim President.",25 Jan,Gaurav Shroff
Woman kidnapped from outside beauty parlour hours before wedding,"A woman was abducted from outside a beauty parlour on Friday, hours before her wedding in Punjab's Muktsar. The entire incident was caught on CCTV, which showed the accused forcing her into the car. The abductors left her at a bus stop after a while and the woman is now under police protection, a police official said.",25 Jan,Gaurav Shroff
Calling wife prostitute grave provocation: SC clears woman of murder,"A woman who killed her husband after he called her a ""prostitute"" has been absolved of murder charges by the Supreme Court. The court said since the death was the result of a ""sudden and grave provocation"", she should be punishable for ""culpable homicide not amounting to murder"". The woman and a co-accused were sentenced to ten years in jail. ",25 Jan,Gaurav Shroff
185 passengers fall sick on board Canada plane,"A total of 185 passengers fell sick on board an Air Transat plane in Canada's Quebec on Thursday, with 10 of them getting hospitalised. Passengers experienced various symptoms including dizziness and vomiting during the plane's de-icing before takeoff. It is believed the fumes from the de-icing seeped into the cabin due to an issue with the aircraft's ventilation system.",25 Jan,Gaurav Shroff
Remains of explorer who named Australia discovered in London,"Archaeologists have found the remains of British explorer Captain Matthew Flinders, who is credited with naming Australia, near a railway station in London. Captain Flinders led the first circumnavigation of Australia. The discovery of his burial site was made as archaeologists were preparing the site where a railway station will be built.",25 Jan,Gaurav Shroff
"Sikhs in US to donate food, funds to federal workers amid shutdown","Two Sikh groups in the US will donate gift/grocery cards and food to Transportation Security Administration (TSA) workers at the Indianapolis Airport, as they continue to be unpaid amid the ongoing partial US government shutdown. Sikh groups in other states in the US are also offering free meals to those affected by the shutdown through community kitchens.",25 Jan,Krishna Veera Vanamali
"Came back from India trip, amazed at the changes: Mark Mobius","Veteran investor Mark Mobius has said that he is ""particularly interested in India at this stage"". ""I just came back from a two-week trip to India and I was just amazed at the changes taking place,"" Mobius said. ""It's quite incredible, and of course you're looking at 7% growth for a country that size, it's very impressive,"" the 82-year-old added.",25 Jan,Krishna Veera Vanamali
Boman Irani joins cast of Vivek Oberoi's PM Modi biopic,"Actor Boman Irani has joined the cast of the upcoming biopic 'PM Narendra Modi', starring Vivek Oberoi. Speaking about joining the film's cast, Boman said, ""This has been a great start to my New Year and I'm looking forward to this remarkable journey."" The film, directed by Omung Kumar, will also feature 'Mary Kom' actor Darshan Kumaar.",25 Jan,Nandini Sinha
Rohit Shetty is obliged to make 'Golmaal 5': Arshad Warsi,"Actor Arshad Warsi said that 'Golmaal' filmmaker Rohit Shetty is ""obliged"" to make the fifth instalment of the film franchise as ""everybody in the country"" wants him to make the film. ""[The series is] completely mad, and...family oriented...There is no reason not to make it,"" the actor added. The series features Arshad along with Ajay Devgn and Tusshar Kapoor.",25 Jan,Nandini Sinha
I'm ready to make a legit gay love story: Karan Johar,"Speaking about the contribution he wants to make to the LGBTQ community as a filmmaker, Karan Johar said, ""I am ready to make a legit gay story."" ""I would want to start working on it right after I am done directing 'Takht',"" the filmmaker added. Karan further said he hopes Indian audiences will accept the film when he makes it.",25 Jan,Anmol Sharma
"Ranbir, Varun don't have as much energy as Ranveer: Karan","Speaking about Ranveer Singh, filmmaker Karan Johar said that other actors like Ranbir Kapoor and Varun Dhawan don't have as much energy as Ranveer, but are ""unique"" in their own way. ""[Ranveer] is very flamboyant and that's something that he shows to the public...[His] energy enhances his stardom,"" he added. ""He's my hero,"" Karan further said. ",25 Jan,Anmol Sharma
"Wasim Jaffer 1st to score 1,000 runs in a Ranji season twice","Indian batsman Wasim Jaffer became the first batsman to have scored 1,000 runs in a season twice in the history of the Ranji Trophy. The 40-year-old Vidarbha batsman went past the landmark on the opening day of the Ranji Trophy semi-final encounter between Vidarbha and Kerala. Jaffer had amassed 1,260 runs for Mumbai in the 2008-09 season.",25 Jan,Krishna Veera Vanamali
Ex-US Open singles winner wins Aus Open women's doubles title,"Former US Open women's singles winner Sam Stosur teamed up with Zhang Shuai to overcome defending champions Timea Babos and Kristina Mladenovic to claim the Australian Open women's doubles title. This was the 34-year-old Australian's first Grand Slam title on home soil since 2005. Notably, this was Zhang's first Grand Slam title of any kind.",25 Jan,Krishna Veera Vanamali
McCullum helps Team Rugby beat Team Cricket in T20 match,"Former New Zealand captain Brendon McCullum helped Team Rugby, comprising New Zealand's rugby players, beat Team Cricket in the inaugural Black Clash T20 at Christchurch's Hagley Oval on Friday. McCullum scored a 32-ball 48 to help his side win by 5 wickets. The Team Cricket featured the likes of former cricketers Stephen Fleming and Nathan Astle.",25 Jan,Nandini Sinha
3rd umpires who don't do well will be weeded out: Saba Karim,"Speaking about the umpires being recruited by BCCI, its General Manager for Cricket Operations, Saba Karim, said, ""[T]hird umpires who don't do well over a period of time will also be weeded out."" Karim added that the umpires have been distributed across four grades with their performances being monitored by match referees.",25 Jan,Nandini Sinha
Will waive farm loans in 10 days if we win: Rahul in Odisha,"Addressing a rally in Bhubaneswar, Congress President Rahul Gandhi said if the party is voted to power in 2019 elections, it will waive off loans of Odisha's farmers within 10 days. ""BJP government [at Centre] and BJD in Odisha function similarly,"" he added. ""Industrialists fund candidates' elections in exchange of profitable projects...state is run by key bureaucrats,"" he further said.  ",25 Jan,Nandini Sinha
855 police officers awarded medals on eve of Republic Day,"As many as 855 police personnel were awarded medals on the eve of Republic Day by President Ram Nath Kovind. Of these, 146 were awarded Police Medals for Gallantry (PMG) and three personnel were decorated with the President’s Police Medal for Gallantry (PPMG) award. CRPF was decorated with maximum PMG, 41, followed by Odisha Police which received 26 medals.",25 Jan,Nandini Sinha
"Jaitley in good health, recovering rapidly: Piyush Goyal","Finance Minister Arun Jaitley, who is undergoing medical treatment in the US, is in good health and is recovering rapidly, interim Finance Minister Piyush Goyal has said. On Tuesday, Jaitley underwent a surgery at a hospital in New York, as per reports. The 66-year-old had gone through tests for soft tissue cancer, reports added. ",25 Jan,Nandini Sinha
"33-yr-old man rapes 3-yr-old girl in Hyderabad, arrested ","A 33-year-old man has been arrested for allegedly raping a three-year-old girl in Dundigal near Hyderabad on Thursday. The girl was playing in front of her house when the man, her neighbour, took her to an isolated place and raped her, a police official said. A case has been registered against the man under the POCSO Act. ",25 Jan,Nandini Sinha
Groww has made investing commission free,"Sequoia & Y-combinator backed investment platform Groww uses technology to make investing free and accessible to everyone in India. Groww offers direct mutual funds (zero-commission) with a 100% paperless, on mobile experience to help people start investing within 3 mins and set themselves for building wealth in long term. Investors from more than 700 cities are currently using Groww.",25 Jan,Roshan Gupta
